"strong","lemma","gloss","freq","vu","updatedAt"
"G0030","ἀγγεῖον","vaisseau, vase, récipient","1","false","null"
"G0031","ἀγγελία","message","2","false","null"
"G0032","ἄγγελος","l'ange, le messager","175","true","2024-11-01 08:15:49.825"
"G0034","ἀγέλη","troupeau","7","false","null"
"G0035","ἀγενεαλόγητος","sans généalogie","1","false","null"
"G0036","ἀγενής","vil, sans renommée, méprisable","1","false","null"
"G0037","ἁγιάζω","sanctifier, consacrer","28","false","null"
"G0038","ἁγιασμός","sainteté, sanctification, pureté morale","10","false","null"
"G0039","ἅγιος","ce qui est saint; lieu saint; sanctuaire","12","false","null"
"G0040","ἅγιος","saint","224","false","null"
"G0041","ἁγιότης","sainteté","1","false","null"
"G0042","ἁγιωσύνη","sainteté, mise à part","3","false","null"
"G0043","ἀγκάλη","bras","1","true","2024-11-01 08:15:49.825"
"G0044","ἄγκιστρον","hameçon","1","false","null"
"G0045","ἄγκυρα","ancre","4","false","null"
"G0046","ἄγναφος","neuf, non porté, non foulé, non usé","2","false","null"
"G0047","ἁγνεία","pureté, chasteté","2","false","null"
"G0048","ἁγνίζω","purifier, sanctifier","7","false","null"
"G0049","ἁγνισμός","purification","1","false","null"
"G0050","ἀγνοέω","ignorer","22","true","2024-11-01 08:15:49.825"
"G0051","ἀγνόημα","faute, erreur","1","false","null"
"G0052","ἄγνοια","ignorance","4","false","null"
"G0053","ἁγνός","pur, digne de révérence, vénérable, sacré","8","true","2024-11-01 08:15:49.825"
"G0054","ἁγνότης","pureté","2","false","null"
"G0055","ἁγνῶς","purement, avec sincérité","1","true","2024-11-01 08:15:49.825"
"G0056","ἀγνωσία","ignorance, méconnaissance, absence de savoir","2","false","null"
"G0057","ἄγνωστος","inconnu, étranger, anonyme","1","false","null"
"G0058","ἀγορά","place publique, place du marché, marché, rue","11","false","null"
"G0059","ἀγοράζω","acheter, racheter","30","true","2024-11-01 08:15:49.825"
"G0060","ἀγοραῖος","mauvais sujet; tribunal","2","false","null"
"G0061","ἄγρα","pêche, prise","2","false","null"
"G0062","ἀγράμματος","sans instruction, illettré","1","false","null"
"G0063","ἀγραυλέω","demeurer aux champs","1","false","null"
"G0064","ἀγρεύω","prendre au piège, surprendre, attraper","1","false","null"
"G0065","ἀγριέλαιος","olivier sauvage","2","false","null"
"G0066","ἄγριος","sauvage, tumultueux","3","false","null"
"G0067","Ἀγρίππας","Agrippa = «cheval sauvage»","11","false","null"
"G0068","ἀγρός","campagne; champ","35","false","null"
"G0069","ἀγρυπνέω","veiller, être éveillé, être attentif","4","false","null"
"G0070","ἀγρυπνία","veille, insomnie","2","false","null"
"G0071","ἄγω","conduire, guider","68","true","2024-11-01 08:15:49.825"
"G0072","ἀγωγή","conduite, manière de vivre","1","false","null"
"G0073","ἀγών","combat, lutte, course","6","true","2024-11-01 08:15:49.825"
"G0074","ἀγωνία","angoisse du combat, agonie, agitation de l’âme","1","false","null"
"G0075","ἀγωνίζομαι","combattre; (participe) athlète","8","false","null"
"G0076","Ἀδάμ","Adam = «la terre rouge»","9","false","null"
"G0077","ἀδάπανος","exempt de frais, sans coût, gratuit","1","false","null"
"G0078","Ἀδδί","Addi = «ornement»","1","false","null"
"G0079","ἀδελφή","sœur","25","false","null"
"G0080","ἀδελφός","frère, homme juif, croyant","343","false","null"
"G0081","ἀδελφότης","fraternité, ensemble de frères","2","false","null"
"G0082","ἄδηλος","que rien ne signale, incertain, confus, indistinct","2","false","null"
"G0083","ἀδηλότης","incertitude, insécurité, fragilité","1","false","null"
"G0084","ἀδήλως","à l’aveuglette, à l’aventure, avec incertitude","1","false","null"
"G0085","ἀδημονέω","être troublé, être dans la détresse","3","true","2024-11-01 08:15:49.825"
"G0086","ᾍδης","hadès","9","false","null"
"G0087","ἀδιάκριτος","sans partialité, sans distinction, sans parti-pris préalable","1","false","null"
"G0088","ἀδιάλειπτος","continuel, incessant, constant","2","false","null"
"G0089","ἀδιαλείπτως","sans cesse, sans relâche, continuellement","4","false","null"
"G0091","ἀδικέω","agir injustement; (passif) supporter des injustices; (passif) souffrir; faire tort; nuire","25","false","null"
"G0092","ἀδίκημα","injustice, délit, iniquité","3","false","null"
"G0093","ἀδικία","injustice","25","true","2024-11-01 08:15:49.825"
"G0094","ἄδικος","injuste","12","false","null"
"G0095","ἀδίκως","injustement, de manière inéquitable","1","false","null"
"G0096","ἀδόκιμος","réprouvé, sans valeur, déréglé","8","false","null"
"G0097","ἄδολος","pur, sans tromperie, sincère","1","false","null"
"G0098","Ἀδραμυττηνός","Adramytte = «Je demeurerai dans la mort»","1","false","null"
"G0099","Ἀδρίας","Adriatique = «sans bois»","1","false","null"
"G0100","ἁδρότης","abondance, forte somme, large contribution","1","false","null"
"G0101","ἀδυνατέω","être impossible, être irréalisable","2","false","null"
"G0102","ἀδύνατος","impossible, avoir lieu, être réalisé, impotent, faible","10","false","null"
"G0103","ᾄδω","chanter, célébrer","5","false","null"
"G0104","ἀεί","toujours, constamment, invariablement","8","false","null"
"G0105","ἀετός","aigle, oiseau de proie","5","false","null"
"G0106","ἄζυμος","sans levain, pain sans levain, sans levain, pain sans levain, le levain","9","false","null"
"G0107","Ἀζώρ","Azor = «qui aide»","2","false","null"
"G0108","Ἄζωτος","Azot = «une forteresse»","1","false","null"
"G0109","ἀήρ","air","7","false","null"
"G0110","ἀθανασία","immortalité","3","false","null"
"G0111","ἀθέμιτος","illicite, illégal","2","false","null"
"G0112","ἄθεος","sans dieu","1","true","2024-11-01 08:15:49.825"
"G0113","ἄθεσμος","pervers, homme pervers, sans restriction, sans loi","2","false","null"
"G0114","ἀθετέω","annuler; mettre de côté, rejeter","16","true","2024-11-01 08:15:49.825"
"G0115","ἀθέτησις","abrogation, annulation, rejet, abolition","2","false","null"
"G0116","Ἀθῆναι","Athènes = «incertitude»","4","false","null"
"G0117","Ἀθηναῖος","Athénien","2","false","null"
"G0118","ἀθλέω","combattre, lutter","2","false","null"
"G0119","ἄθλησις","combat, lutte","1","false","null"
"G0120","ἀθυμέω","être découragé, accablé, démoralisé","1","false","null"
"G0121","ἀθῷος","innocent, non coupable","2","false","null"
"G0122","αἴγειος","de chèvre","1","false","null"
"G0123","αἰγιαλός","plage, rivage, grève","6","false","null"
"G0124","Αἰγύπτιος","Égyptien, habitant de l’égypte","5","false","null"
"G0125","Αἴγυπτος","Égypte = «double détroit, oppresseur»","25","false","null"
"G0126","ἀΐδιος","éternel, perpétuel, pour toujours","2","false","null"
"G0127","αἰδώς","pudeur, décence, modestie, révérence","1","false","null"
"G0128","Αἰθίοψ","Éthiopien = «noir, brûlé par le soleil»","2","true","2024-11-01 08:15:49.825"
"G0129","αἷμα","sang","97","false","null"
"G0130","αἱματεκχυσία","effusion de sang","1","false","null"
"G0131","αἱμορροέω","avoir une perte de sang, souffrir d’une hémorragie","1","false","null"
"G0132","Αἰνέας","Énée = «louable»","2","false","null"
"G0133","αἴνεσις","louange, célébration, glorification d’une personne","1","false","null"
"G0134","αἰνέω","célébrer, louer, glorifier","8","false","null"
"G0135","αἴνιγμα","énigme, parole obscure","1","false","null"
"G0136","αἶνος","louange, célébration, glorification d’une personne","2","false","null"
"G0137","Αἰνών","Énon = «sources»","1","false","null"
"G0138","αἱρέω","prendre, préférer, choisir","3","true","2024-11-01 08:15:49.825"
"G0139","αἵρεσις","secte, parti, dissension, division","9","true","2024-11-01 08:15:49.825"
"G0140","αἱρετίζω","élire","1","false","null"
"G0141","αἱρετικός","sectaire, hérétique, de parti","1","false","null"
"G0142","αἴρω","lever; élever; relever; retirer à bord; tenir en suspens; prendre; porter; emporter; recueillir; ramasser; enlever; ôter","102","false","null"
"G0143","αἰσθάνομαι","saisir, percevoir, comprendre","1","false","null"
"G0144","αἴσθησις","discernement, perception, connaissance","1","true","2024-11-01 08:15:49.825"
"G0145","αἰσθητήριον","sens, faculté de discerner, jugement","1","false","null"
"G0146","αἰσχροκερδής","avide d’un gain honteux, malhonnête","2","false","null"
"G0147","αἰσχροκερδῶς","pour un gain honteux, bassement, avec cupidité","1","false","null"
"G0148","αἰσχρολογία","parole honteuse, parole grossière, propos inconvenant","1","false","null"
"G0150","αἰσχρός","honteux, inconvenant, déshonnête","4","false","null"
"G0151","αἰσχρότης","chose honteuse, parole grossière, obscénité","1","false","null"
"G0152","αἰσχύνη","honte, impureté, ignominie","6","true","2024-11-01 08:15:49.825"
"G0153","αἰσχύνω","déshonorer, couvrir de honte, avoir honte, être confus","5","true","2024-11-01 08:15:49.825"
"G0154","αἰτέω","demander; solliciter; redemander","70","false","null"
"G0155","αἴτημα","pétition, requête, demande","3","true","2024-11-01 08:15:49.825"
"G0156","αἰτία","raison; accusation; crime; condition","20","false","null"
"G0157","αἰτίαμα","accusation, grief, sujet d’accusation","1","false","null"
"G0159","αἴτιος","auteur, la source active","5","false","null"
"G0160","αἰφνίδιος","subit, inattendu, inopiné","2","false","null"
"G0161","αἰχμαλωσία","captivité, privation de liberté, emprisonnement","2","false","null"
"G0162","αἰχμαλωτεύω","emmener captif, mener captif, faire prisonnier","1","false","null"
"G0163","αἰχμαλωτίζω","amener captif, mener captif, rendre captif, faire prisonnier, emmener en captivité","4","false","null"
"G0164","αἰχμάλωτος","captif, prisonnier de guerre","1","false","null"
"G0165","αἰών","temps; éternité; période, ère; monde; éon","123","true","2024-11-01 08:15:49.825"
"G0166","αἰώνιος","éternel, siècle","70","true","2024-11-01 08:15:49.825"
"G0167","ἀκαθαρσία","impureté, saleté, souillure","10","false","null"
"G0169","ἀκάθαρτος","immonde; impur","31","false","null"
"G0170","ἀκαιρέω","ne pas avoir l’occasion, manquer une opportunité","1","false","null"
"G0171","ἀκαίρως","hors de temps","1","false","null"
"G0172","ἄκακος","innocent, simple","2","false","null"
"G0173","ἄκανθα","épine, aiguille","14","false","null"
"G0174","ἀκάνθινος","piquant, épineux","2","false","null"
"G0175","ἄκαρπος","sans fruit, sans résultat, infructueux","7","false","null"
"G0176","ἀκατάγνωστος","que l’on ne peut condamner","1","false","null"
"G0177","ἀκατακάλυπτος","découvert, non couvert, non voilé","2","false","null"
"G0178","ἀκατάκριτος","sans être condamné","2","false","null"
"G0179","ἀκατάλυτος","impérissable, indissoluble, indestructible","1","false","null"
"G0180","ἀκατάπαυστος","qui ne cesse jamais, qui n’arrête pas","1","false","null"
"G0181","ἀκαταστασία","désordre, confusion, perturbation, trouble, sédition","5","false","null"
"G0182","ἀκατάστατος","inconstant, instable, désordonné","2","false","null"
"G0184","Ἀκελδαμά","Hakeldama = «Champ du Sang»","1","false","null"
"G0185","ἀκέραιος","pur; simple","3","false","null"
"G0186","ἀκλινής","sans chanceler, sans fléchir, ferme, stable","1","false","null"
"G0187","ἀκμάζω","mûrir, arriver à maturité","1","false","null"
"G0188","ἀκμήν","encore, de nouveau, une autre fois","1","false","null"
"G0189","ἀκοή","l’ouïe, l’oreille, la chose entendue","24","true","2024-11-01 08:15:49.825"
"G0190","ἀκολουθέω","suivre","88","true","2024-11-01 08:15:49.825"
"G0191","ἀκούω","écouter, entendre","426","true","2024-11-01 08:15:49.825"
"G0192","ἀκρασία","intempérance, dérèglement, incontinence","2","false","null"
"G0193","ἀκρατής","incontinent, sans frein","1","false","null"
"G0194","ἄκρατος","sans mélange, pur","1","false","null"
"G0195","ἀκρίβεια","exactitude, précision, respect scrupuleux","1","false","null"
"G0196","ἀκριβέστατος","exact, soigneux","1","true","2024-11-01 08:15:49.825"
"G0197","ἀκριβέστερον","plus exactement, plus précisément","4","false","null"
"G0198","ἀκριβόω","s’informer exactement, s’enquérir exactement, se faire préciser","2","false","null"
"G0199","ἀκριβῶς","exactement; diligemment; soigneusement","5","false","null"
"G0200","ἀκρίς","sauterelle","4","true","2024-11-01 08:15:49.825"
"G0201","ἀκροατήριον","salle d’audience","1","false","null"
"G0202","ἀκροατής","celui qui écoute, auditeur","4","false","null"
"G0203","ἀκροβυστία","incirconcision","20","false","null"
"G0204","ἀκρογωνιαῖος","maîtresse pierre de coin","2","false","null"
"G0205","ἀκροθίνιον","butin","1","true","2024-11-01 08:15:49.825"
"G0206","ἄκρον","bout, extrémité","6","false","null"
"G0207","Ἀκύλας","Aquilas = «un aigle»","6","false","null"
"G0208","ἀκυρόω","annuler, abroger","3","true","2024-11-01 08:15:49.825"
"G0209","ἀκωλύτως","sans empêchement, sans entrave, sans obstacle","1","false","null"
"G0210","ἄκων","malgré soi, contraint","1","false","null"
"G0211","ἀλάβαστρον","vase d’albâtre","4","false","null"
"G0212","ἀλαζονεία","orgueil, vantardise, ostentation, arrogance","2","false","null"
"G0213","ἀλαζών","vantard, fanfaron, arrogant","2","false","null"
"G0214","ἀλαλάζω","retentir; pousser des cris","2","false","null"
"G0215","ἀλάλητος","inexprimable, indicible, incommunicable","1","false","null"
"G0216","ἄλαλος","muet","3","false","null"
"G0217","ἅλας","sel","8","false","null"
"G0218","ἀλείφω","oindre, embaumer","9","false","null"
"G0219","ἀλεκτοροφωνία","chant du coq, à l’aube, tôt le matin","1","false","null"
"G0220","ἀλέκτωρ","coq, oiseau de basse-cour","12","false","null"
"G0221","Ἀλεξανδρεύς","Alexandrin","2","false","null"
"G0222","Ἀλεξανδρῖνος","D’Alexandrie","2","false","null"
"G0223","Ἀλέξανδρος","Alexandre= «défenseur des hommes»","6","false","null"
"G0224","ἄλευρον","farine","2","false","null"
"G0225","ἀλήθεια","vérité, véracité","108","true","2024-11-01 08:15:49.825"
"G0226","ἀληθεύω","dire la vérité, professer la vérité, garder la vérité, être vrai","2","false","null"
"G0227","ἀληθής","vrai, véritable, sincère","26","true","2024-11-01 08:15:49.825"
"G0228","ἀληθινός","véritable, vrai, sincère","28","true","2024-11-01 08:15:49.825"
"G0229","ἀλήθω","moudre","2","false","null"
"G0230","ἀληθῶς","certainement, vraiment, véritablement, réellement","18","false","null"
"G0231","ἁλιεύς","pêcheur","5","false","null"
"G0232","ἁλιεύω","pêcher, attraper du poisson","1","false","null"
"G0233","ἁλίζω","saler, assaisonner de sel","2","false","null"
"G0234","ἀλίσγημα","souillure, ce qui pollue, ce qui contamine","1","false","null"
"G0235","ἀλλά","mais","638","true","2024-11-01 08:15:49.825"
"G0236","ἀλλάσσω","changer, altérer","6","true","2024-11-01 08:15:49.825"
"G0237","ἀλλαχόθεν","ailleurs","2","false","null"
"G0238","ἀλληγορέω","exprimer allégoriquement","1","false","null"
"G0239","ἀλληλουϊα","alléluia = «Louez l’Éternel!»","4","true","2024-11-01 08:15:49.825"
"G0240","ἀλλήλων","les uns les autres, eux, mutuel, réciproque","100","false","null"
"G0241","ἀλλογενής","étranger","1","false","null"
"G0242","ἅλλομαι","jaillir, sortir puissamment, sauter","3","false","null"
"G0243","ἄλλος","autre","154","true","2024-11-01 08:15:49.825"
"G0244","ἀλλοτριεπίσκοπος","qui s’ingère dans les affaires d’autrui, indiscret","1","false","null"
"G0245","ἀλλότριος","d’autrui; étranger","14","false","null"
"G0246","ἀλλόφυλος","étranger","1","false","null"
"G0247","ἄλλως","autrement, d’une autre manière","1","false","null"
"G0248","ἀλοάω","fouler le grain","3","false","null"
"G0249","ἄλογος","déraisonnable, illogique, absurde, sans raison","3","false","null"
"G0250","ἀλόη","aloès","1","true","2024-11-01 08:15:49.825"
"G0252","ἁλυκός","salé","1","false","null"
"G0253","ἄλυπος","moins triste, moins attristé, moins chagriné","1","false","null"
"G0254","ἅλυσις","chaîne","11","false","null"
"G0255","ἀλυσιτελής","qui n’est pas profitable, inutile","1","false","null"
"G0256","Ἀλφαῖος","Alphée = «éphémère»","5","false","null"
"G0257","ἅλων","aire","2","false","null"
"G0258","ἀλώπηξ","renard","3","false","null"
"G0259","ἅλωσις","capture, prise","1","false","null"
"G0260","ἅμα","en même temps, ensemble, avec","10","false","null"
"G0261","ἀμαθής","ignorant, sans instruction, ignare","1","false","null"
"G0262","ἀμαράντινος","inflétrissable, qui demeure perpétuellement, incorruptible","1","false","null"
"G0263","ἀμάραντος","inaltérable, qui demeure perpétuellement, incorruptible, immarcescible","1","false","null"
"G0264","ἁμαρτάνω","pécher","42","true","2024-11-01 08:15:49.825"
"G0265","ἁμάρτημα","péché","4","false","null"
"G0266","ἁμαρτία","péché, offense","173","true","2024-11-01 08:15:49.825"
"G0267","ἀμάρτυρος","sans témoignage, sans attestation","1","false","null"
"G0268","ἁμαρτωλός","pécheur, pécheresse, pécheur, pécheresse","47","false","null"
"G0269","ἄμαχος","non querelleur, non disputeur, pacifique","2","false","null"
"G0270","ἀμάω","moissonner, récolter","1","false","null"
"G0271","ἀμέθυστος","améthyste, variété de quartz","1","false","null"
"G0272","ἀμελέω","ne pas tenir compte; délaisser","4","false","null"
"G0273","ἄμεμπτος","irréprochable, sans défaut, innocent","5","true","2024-11-01 08:15:49.825"
"G0274","ἀμέμπτως","irréprochablement, sans reproche","2","false","null"
"G0275","ἀμέριμνος","sans inquiétude, exempt de soucis","2","false","null"
"G0276","ἀμετάθετος","immutabilité, caractère irrévocable, permanence","2","false","null"
"G0277","ἀμετακίνητος","inébranlable","1","false","null"
"G0278","ἀμεταμέλητος","sans repentir, irrévocable","2","false","null"
"G0279","ἀμετανόητος","sans repentance, impénitent","1","false","null"
"G0280","ἄμετρος","ce qui dépasse la mesure, démesuré","2","false","null"
"G0281","ἀμήν","amen, en vérité, véritablement","134","true","2024-11-01 08:15:49.825"
"G0282","ἀμήτωρ","sans mère","1","false","null"
"G0283","ἀμίαντος","sans souillure, immaculé, sans contamination, sans tache","4","false","null"
"G0284","Ἀμιναδάβ","Aminadab = «un du prince du peuple»","3","false","null"
"G0285","ἄμμος","sable","5","false","null"
"G0286","ἀμνός","agneau","4","false","null"
"G0287","ἀμοιβή","soins reçus","1","false","null"
"G0288","ἄμπελος","vigne","9","false","null"
"G0289","ἀμπελουργός","vigneron, vigneronne","1","false","null"
"G0290","ἀμπελών","vignoble","23","false","null"
"G0291","Ἀμπλίας","Amplias = «large, agrandi»","1","false","null"
"G0292","ἀμύνω","prendre la défense, défendre, protéger, aider","1","false","null"
"G0293","ἀμφίβληστρον","jeter un filet","1","false","null"
"G0294","ἀμφιέννυμι","revêtir, vêtir, habiller","3","false","null"
"G0295","Ἀμφίπολις","Amphipolis = «ville entourée par les eaux»","1","false","null"
"G0296","ἄμφοδον","carrefour","1","false","null"
"G0297","ἀμφότερος","tous les deux, tous deux, l’un et l’autre","14","false","null"
"G0298","ἀμώμητος","irréprochable, sans tache, sans défaut","1","false","null"
"G0299","ἄμωμος","sans défaut, sans faute, irrépréhensible","8","true","2024-11-01 08:15:49.825"
"G0301","Ἀμώς","Amos = «qui porte le fardeau»","3","false","null"
"G0302","ἄν","qui que ce soit, quiconque, où que ce soit, quoi qu’il arrive, etc.","167","true","2024-11-01 08:15:49.825"
"G0303","ἀνά","parmi, au milieu, chacun, tout","12","false","null"
"G0304","ἀναβαθμός","surface plane, marche","2","false","null"
"G0305","ἀναβαίνω","monter; remonter; venir","81","false","null"
"G0306","ἀναβάλλω","ajourner","1","false","null"
"G0307","ἀναβιβάζω","tirer, remonter, soulever","1","false","null"
"G0308","ἀναβλέπω","lever les yeux, recouvrer la vue","25","true","2024-11-01 08:15:49.825"
"G0309","ἀνάβλεψις","recouvrement de la vue","1","false","null"
"G0310","ἀναβοάω","s’écrier, pousser des cris","1","false","null"
"G0311","ἀναβολή","délai, suspension, sursis","1","false","null"
"G0312","ἀναγγέλλω","annoncer; déclarer; faire connaître; parler; porter la nouvelle; prêcher; raconter","14","false","null"
"G0313","ἀναγεννάω","régénérer","2","false","null"
"G0314","ἀναγινώσκω","savoir; lire","32","false","null"
"G0315","ἀναγκάζω","contraindre, forcer, obliger, imposer","9","false","null"
"G0316","ἀναγκαῖος","nécessaire, indispensable, intime","8","false","null"
"G0317","ἀναγκαστῶς","par contrainte, par nécessité, par obligation","1","false","null"
"G0318","ἀνάγκη","nécessité; contrainte; détresse","17","false","null"
"G0319","ἀναγνωρίζω","reconnaître, identifier","1","false","null"
"G0320","ἀνάγνωσις","lecture, action de lire","3","false","null"
"G0321","ἀνάγω","faire monter; mener; ramener; amener; offrir; faire comparaître; (passif) s’embarquer; (passif) partir [par la mer]; (passif) faire voile","23","false","null"
"G0322","ἀναδείκνυμι","désigner, choisir, nommer, montrer","2","false","null"
"G0323","ἀνάδειξις","manifestation, présentation publique","1","false","null"
"G0324","ἀναδέχομαι","accueillir; recevoir","2","false","null"
"G0325","ἀναδίδωμι","remettre, présenter, livrer","1","false","null"
"G0326","ἀναζάω","reprendre vie, vivre de nouveau","2","false","null"
"G0327","ἀναζητέω","rechercher, chercher avec soin","3","false","null"
"G0328","ἀναζώννυμι","ceindre","1","false","null"
"G0329","ἀναζωπυρέω","ranimer, raviver, enflammer de nouveau","1","false","null"
"G0330","ἀναθάλλω","renouveler, croître, pousser de nouveau, reverdir, fleurir de nouveau","1","true","2024-11-01 08:15:49.825"
"G0331","ἀνάθεμα","anathème, imprécation, livré au malheur","7","true","2024-11-01 08:15:49.825"
"G0332","ἀναθεματίζω","s’obliger par un serment d’exécration","4","false","null"
"G0333","ἀναθεωρέω","considérer à nouveau, regarder très attentivement, contempler","2","false","null"
"G0335","ἀναίδεια","importunité, impudence, insistance","1","false","null"
"G0336","ἀναίρεσις","mort, assassinat, meurtre","1","false","null"
"G0337","ἀναιρέω","emporter; faire périr; annuler","24","false","null"
"G0338","ἀναίτιος","non coupable, innocent, non fautif","2","false","null"
"G0339","ἀνακαθίζω","se lever","2","false","null"
"G0340","ἀνακαινίζω","renouveler, rendre nouveau","1","false","null"
"G0341","ἀνακαινόω","renouveler, rendre nouveau","2","false","null"
"G0342","ἀνακαίνωσις","renouvellement","2","false","null"
"G0343","ἀνακαλύπτω","découvrir, dévoiler, lever","2","false","null"
"G0344","ἀνακάμπτω","revenir, retourner","4","false","null"
"G0345","ἀνάκειμαι","être à table; être assis; être couché","14","false","null"
"G0346","ἀνακεφαλαιόομαι","réunir en un, regrouper, résumer","2","false","null"
"G0347","ἀνακλίνω","coucher; faire asseoir; (passif) se mettre à table","6","false","null"
"G0349","ἀνακράζω","s’écrier, crier, pousser des cris","5","false","null"
"G0350","ἀνακρίνω","juger; discerner; examiner; interroger; faire subir un interrogatoire; s’informer","16","false","null"
"G0351","ἀνάκρισις","examen","1","true","2024-11-01 08:15:49.825"
"G0352","ἀνακύπτω","redresser; regarder en haut","2","false","null"
"G0353","ἀναλαμβάνω","élever; porter; prendre","13","false","null"
"G0354","ἀνάληψις","assomption, ascension, enlèvement","1","false","null"
"G0355","ἀναλίσκω","consumer, détruire, tuer","2","false","null"
"G0356","ἀναλογία","mesure, proportion, accord","1","false","null"
"G0357","ἀναλογίζομαι","considérer, examiner attentivement","1","false","null"
"G0358","ἄναλος","insipide, dessalé, sans saveur","1","false","null"
"G0359","ἀνάλυσις","départ","1","false","null"
"G0360","ἀναλύω","revenir, s'en aller, délier, refaire, partir, interrompre","2","true","2024-11-01 08:15:49.825"
"G0362","ἀναμένω","attendre, attendre patiemment","1","false","null"
"G0363","ἀναμιμνήσκω","rappeler; (passif) se souvenir","6","false","null"
"G0364","ἀνάμνησις","mémoire, souvenir, acte remémoratif","4","false","null"
"G0365","ἀνανεόομαι","renouveler","1","false","null"
"G0366","ἀνανήφω","réveiller","1","false","null"
"G0367","Ἀνανίας","Ananias = «celui à qui l’Éternel a donné gracieusement»","11","false","null"
"G0368","ἀναντίρρητος","incontestable","1","false","null"
"G0369","ἀναντιρρήτως","sans faire de difficulté, sans objection, sans réticence","1","false","null"
"G0370","ἀνάξιος","indigne, incompétent","1","false","null"
"G0371","ἀναξίως","indignement, d’une manière indigne, communément","1","false","null"
"G0372","ἀνάπαυσις","repos, halte","5","false","null"
"G0373","ἀναπαύω","reposer, se reposer, tranquiliser","12","true","2024-11-01 08:15:49.825"
"G0374","ἀναπείθω","persuader, agiter en persuadant, exciter","1","false","null"
"G0375","ἀναπέμπω","renvoyer, renvoyer à une autorité","5","true","2025-02-14 10:16:06"
"G0376","ἀνάπηρος","estropié","2","false","null"
"G0377","ἀναπίπτω","s’asseoir; se mettre; se pencher","12","false","null"
"G0378","ἀναπληρόω","accomplir, suppléer, mettre le comble","6","true","2024-11-01 08:15:49.825"
"G0379","ἀναπολόγητος","inexcusable, sans excuse","2","false","null"
"G0380","ἀναπτύσσω","déployer, dérouler, ouvrir","1","false","null"
"G0381","ἀνάπτω","allumer, enflammer, faire flamber","2","false","null"
"G0382","ἀναρίθμητος","lequel ne peut se compter, innombrable","1","false","null"
"G0383","ἀνασείω","exciter, provoquer, soulever","2","false","null"
"G0384","ἀνασκευάζω","ébranler","1","true","2024-11-01 08:15:49.825"
"G0385","ἀνασπάω","retirer, faire sortir, reprendre","2","false","null"
"G0386","ἀνάστασις","résurrection","42","true","2024-11-01 08:15:49.825"
"G0387","ἀναστατόω","bouleverser, soulever, troubler, exciter une sédition","3","false","null"
"G0388","ἀνασταυρόω","crucifier de nouveau une personne","1","false","null"
"G0389","ἀναστενάζω","soupirer profondément","1","false","null"
"G0390","ἀναστρέφω","retourner; (passif) se conduire; (passif) être traité","9","false","null"
"G0391","ἀναστροφή","conduite, manière de vivre, comportement","13","false","null"
"G0392","ἀνατάσσω","rédiger, composer, écrire","1","false","null"
"G0393","ἀνατέλλω","lever, paraître, briller, surgir","9","false","null"
"G0394","ἀνατίθημι","(moyen) exposer, présenter","2","false","null"
"G0395","ἀνατολή","orient, le côté est","10","false","null"
"G0396","ἀνατρέπω","renverser","3","false","null"
"G0397","ἀνατρέφω","élever, éduquer, former, nourrir","3","false","null"
