strong,chapter
G3313,duff_13
G3319,duff_18
G3326,duff_4
G3340,duff_7
G3366,duff_7
G3367,duff_13
G3371,duff_7
G3379,duff_9
G3383,duff_7
G3384,duff_12
G3385,duff_7
G3398,duff_20
G3403,duff_20
G3404,duff_14
G3408,duff_18
G3419,duff_7
G3441,duff_5
G3466,duff_9
G3475,duff_13
G3483,duff_10
G3485,duff_15
G3498,duff_5
G3501,duff_18
G3507,duff_16
G3528,duff_19
G3538,duff_20
G3551,duff_2
G3563,duff_13
G3568,duff_6
G3571,duff_12
G3598,duff_8
G3614,duff_3
G3618,duff_6
G3624,duff_2
G3631,duff_17
G3638,duff_16
G3641,duff_18
G3650,duff_9
G3660,duff_15
G3664,duff_10
G3668,duff_10
G3670,duff_17
G3686,duff_12
G3694,duff_7
G3699,duff_10
G3704,duff_17
G3708,duff_11
G3709,duff_17
G3735,duff_13
G3745,duff_5
G3748,duff_12
G3752,duff_17
G3753,duff_6
G3754,duff_10
G3756,duff_4
G3757,duff_10
G3759,duff_16
G3761,duff_10
G3762,duff_13
G3765,duff_6
G3767,duff_9
G3768,duff_6
G3772,duff_2
G3775,duff_14
G3777,duff_10
G3778,duff_9
G3779,duff_10
G3780,duff_10
G3784,duff_11
G3788,duff_7
G3793,duff_2
G3813,duff_14
G3816,duff_14
G3825,duff_6
G3842,duff_6
G3844,duff_4
G3850,duff_7
G3853,duff_11
G3854,duff_11
G3860,duff_19
G3870,duff_4
G3874,duff_13
G3880,duff_4
G3918,duff_18
G3928,duff_8
G3936,duff_19
G3952,duff_16
G3954,duff_7
G3956,duff_13
G3957,duff_14
G3958,duff_11
G3962,duff_12
G3972,duff_3
G3982,duff_6
G3983,duff_19
G3985,duff_14
G3992,duff_6
G4002,duff_16
G4008,duff_10
G4012,duff_4
G4043,duff_4
G4052,duff_15
G4061,duff_16
G4074,duff_3
G4091,duff_10
G4095,duff_11
G4098,duff_11
G4100,duff_3
G4102,duff_13
G4103,duff_5
G4105,duff_19
G4119,duff_12
G4128,duff_13
G4130,duff_19
G4133,duff_10
G4137,duff_19
G4143,duff_3
G4145,duff_18
G4151,duff_12
G4152,duff_18
G4159,duff_10
G4160,duff_2
G4166,duff_20
G4169,duff_9
G4172,duff_13
G4183,duff_5
G4190,duff_5
G4202,duff_16
G4214,duff_9
G4218,duff_6
G4221,duff_9
G4226,duff_4
G4228,duff_12
G4238,duff_14
G4245,duff_14
G4253,duff_4
G4263,duff_7
G4314,duff_4
G4334,duff_8
G4335,duff_16
G4336,duff_8
G4337,duff_6
G4341,duff_8
G4352,duff_4
G4374,duff_11
G4383,duff_3
G4395,duff_14
G4396,duff_8
G4413,duff_16
G4442,duff_12
G4459,duff_4
G4461,duff_1
G4487,duff_12
G4506,duff_8
G4521,duff_3
G4561,duff_12
G4567,duff_8
G4572,duff_9
G4592,duff_3
G4594,duff_6
G4613,duff_12
G4624,duff_14
G4632,duff_13
G4655,duff_13
G4674,duff_9
G4678,duff_17
G4687,duff_11
G4690,duff_14
G4716,duff_18
G4717,duff_19
G4750,duff_12
G4757,duff_8
G4771,duff_9
G4862,duff_4
G4863,duff_4
G4864,duff_5
G4893,duff_13
G4905,duff_8
G4920,duff_19
G4982,duff_6
G4983,duff_12
G4990,duff_12
G4991,duff_17
G5037,duff_9
G5043,duff_3
G5048,duff_19
G5055,duff_15
G5056,duff_13
G5064,duff_16
G5083,duff_2
G5087,duff_19
G5091,duff_19
G5092,duff_17
G5095,duff_6
G5100,duff_12
G5101,duff_12
G5108,duff_9
G5117,duff_6
G5119,duff_6
G5140,duff_16
G5154,duff_16
G5185,duff_5
G5204,duff_12
G5207,duff_2
G5217,duff_4
G5225,duff_6
G5228,duff_4
G5257,duff_8
G5259,duff_4
G5281,duff_16
G5290,duff_15
G5293,duff_14
G5316,duff_15
G5319,duff_19
G5330,duff_7
G5342,duff_11
G5343,duff_11
G5346,duff_19
G5368,duff_2
G5376,duff_15
G5384,duff_18
G5399,duff_15
G5401,duff_15
G5426,duff_15
G5438,duff_17
G5442,duff_14
G5443,duff_16
G5455,duff_14
G5456,duff_3
G5457,duff_12
G5463,duff_11
G5479,duff_7
G5483,duff_14
G5485,duff_12
G5495,duff_12
G5501,duff_20
G5503,duff_16
G5507,duff_16
G5532,duff_17
G5547,duff_2
G5550,duff_15
G5560,duff_5
G5561,duff_16
G5565,duff_10
G5590,duff_3
G5602,duff_10
G5610,duff_3
G5613,duff_5
G5618,duff_12
G5620,duff_18
G6000,duff_11
H0001,pegon_15
H0006,
H0014,
H0026,
H0040,
H0053,
H0056,
H0068,
H0072,
H0074,
H0085,
H0117,
H0120,
H0121,
H0123,
H0127,
H0134,
H0136,
H0138,
H0157,
H0168,
H0175,
H0194,
H0341,
