strong,lemma,inflectionEndings,pos,gloss,freq,updatedAt
G0043,ἀγκάλη,-ης,n. f.,bras,1,2024-11-01T08:15:49.825Z
G0044,ἄγκιστρον,-ου,n. m.,hameçon,1,
G0045,ἄγκυρα,-ας,n. f.,ancre,4,
G0046,ἄγναφος,-ον,adj.,"neuf, non porté, non foulé, non usé",2,
G0047,ἁγνεία,-ας,n. f.,"pureté, chasteté",2,
G0048,ἁγνίζω,,vb.,"purifier, sanctifier",7,
G0049,ἁγνισμός,-οῦ,n. f.,purification,1,
G0050,ἀγνοέω,,vb.,ignorer,22,2024-11-01T08:15:49.825Z
G0051,ἀγνόημα,-τος,n. n.,"faute, erreur",1,
G0052,ἄγνοια,-ας,n. f.,ignorance,4,
G0053,ἁγνός,"-ή, -όν",adj.,"pur, digne de révérence, vénérable, sacré",8,2024-11-01T08:15:49.825Z
G0054,ἁγνότης,-ητος,n. f.,pureté,2,
G0055,ἁγνῶς,,adv.,"purement, avec sincérité",1,2024-11-01T08:15:49.825Z
G0056,ἀγνωσία,-ας,n. f.,"ignorance, méconnaissance, absence de savoir",2,
G0057,ἄγνωστος,-ον,adj.,"inconnu, étranger, anonyme",1,
G0058,ἀγορά,-ᾶς,n. f.,"place publique, place du marché, marché, rue",11,
G0059,ἀγοράζω,,vb.,"acheter, racheter",30,2024-11-01T08:15:49.825Z
G0060,ἀγοραῖος,-ον,adj.,mauvais sujet ; tribunal,2,
G0061,ἄγρα,-ας,n. f.,"pêche, prise",2,
G0062,ἀγράμματος,-ον,adj.,"sans instruction, illettré",1,
G0063,ἀγραυλέω,,vb.,demeurer aux champs,1,
G0064,ἀγρεύω,,vb.,"prendre au piège, surprendre, attraper",1,
G0065,ἀγριέλαιος,-ου,n. f.,olivier sauvage,2,
G0066,ἄγριος,"-α, -ον",adj.,"sauvage, tumultueux",3,
G0067,Ἀγρίππας,-α,n. pr. m.,Agrippa = «cheval sauvage»,11,
G0068,ἀγρός,-οῦ,n. f.,campagne ; champ,35,
G0069,ἀγρυπνέω,,vb.,"veiller, être éveillé, être attentif",4,
G0070,ἀγρυπνία,-ας,n. f.,"veille, insomnie",2,
G0071,ἄγω,fut. pass. ἀχθήσομαι ; aor. ἤγαγον ; aor. pass. ἤχθην ; inf. ἀγαγεῖν,vb.,"conduire, guider",68,2024-11-01T08:15:49.825Z
G0072,ἀγωγή,-ῆς,n. f.,"conduite, manière de vivre",1,
G0073,ἀγών,-ῶνος,n. f.,"combat, lutte, course",6,2024-11-01T08:15:49.825Z
G0074,ἀγωνία,-ας,n. f.,"angoisse du combat, agonie, agitation de l’âme",1,
G0075,ἀγωνίζομαι,,vb.,combattre ; (participe) athlète,8,
G0076,Ἀδάμ,,n. pr. m.,Adam = «la terre rouge»,9,
G0077,ἀδάπανος,-ον,adj.,"exempt de frais, sans coût, gratuit",1,
G0078,Ἀδδί,,n. pr. m.,Addi = «ornement»,1,
G0079,ἀδελφή,-ῆς,n. f.,sœur,25,
G0080,ἀδελφός,-οῦ,n. f.,"frère, homme juif, croyant",343,
G0081,ἀδελφότης,-ητος,n. f.,"fraternité, ensemble de frères",2,
G0082,ἄδηλος,-ον,adj.,"que rien ne signale, incertain, confus, indistinct",2,
G0083,ἀδηλότης,-ητος,n. f.,"incertitude, insécurité, fragilité",1,
G0084,ἀδήλως,,adv.,"à l’aveuglette, à l’aventure, avec incertitude",1,
G0085,ἀδημονέω,,vb.,"être troublé, être dans la détresse",3,2024-11-01T08:15:49.825Z
G0086,ᾍδης,-ου,n. m.,hadès,9,
G0087,ἀδιάκριτος,-ον,adj.,"sans partialité, sans distinction, sans parti-pris préalable",1,
G0088,ἀδιάλειπτος,-ον,adj.,"continuel, incessant, constant",2,
G0089,ἀδιαλείπτως,,adv.,"sans cesse, sans relâche, continuellement",4,
G0091,ἀδικέω,,vb.,"agir injustement, faire le mal ; (pass.) supporter des injustices ; (pass.) souffrir ; nuire",25,2025-07-18T19:17:48.782Z
G0092,ἀδίκημα,-τος,n. n.,"injustice, délit, iniquité",3,
G0093,ἀδικία,-ας,n. f.,"injustice, mal",25,2025-07-18T19:25:55.484Z
G0094,ἄδικος,-ον ; -ον,adj.,injuste,12,
G0095,ἀδίκως,,adv.,"injustement, de manière inéquitable",1,
G0096,ἀδόκιμος,-ον,adj.,"réprouvé, sans valeur, déréglé",8,
G0097,ἄδολος,-ον,adj.,"pur, sans tromperie, sincère",1,
G0098,Ἀδραμυττηνός,"-ή, -όν",adj.,Adramytte = «Je demeurerai dans la mort»,1,
G0099,Ἀδρίας,-ου,n. pr. m.,Adriatique = «sans bois»,1,
G0100,ἁδρότης,-ητος,n. f.,"abondance, forte somme, large contribution",1,
G0101,ἀδυνατέω,,vb.,"être impossible, être irréalisable",2,
G0102,ἀδύνατος,-ον,adj.,"impossible, avoir lieu, être réalisé, impotent, faible",10,
G0103,ᾄδω,,vb.,"chanter, célébrer",5,
G0104,ἀεί,,adv.,"toujours, constamment, invariablement",8,
G0105,ἀετός,-οῦ,n. f.,"aigle, oiseau de proie",5,
G0106,ἄζυμος,-ον,adj.,"sans levain, pain sans levain, sans levain, pain sans levain, le levain",9,
G0107,Ἀζώρ,,n. pr. m.,Azor = «qui aide»,2,
G0108,Ἄζωτος,-ου,n. pr. f.,Azot = «une forteresse»,1,
G0109,ἀήρ,-έρος,n. f.,air,7,
G0110,ἀθανασία,-ας,n. f.,immortalité,3,
G0111,ἀθέμιτος,-ον,adj.,"illicite, illégal",2,
G0112,ἄθεος,-ον,adj.,sans dieu,1,2024-11-01T08:15:49.825Z
G0113,ἄθεσμος,-ον,adj.,"pervers, homme pervers, sans restriction, sans loi",2,
G0114,ἀθετέω,,vb.,"annuler ; mettre de côté, rejeter",16,2024-11-01T08:15:49.825Z
G0115,ἀθέτησις,-εως,n. f.,"abrogation, annulation, rejet, abolition",2,
G0116,Ἀθῆναι,-ῶν,n. pr. f.,Athènes = «incertitude»,4,
G0117,Ἀθηναῖος,"-α, -ον",adj.,Athénien,2,
G0118,ἀθλέω,,vb.,"combattre, lutter",2,
G0119,ἄθλησις,-εως,n. f.,"combat, lutte",1,
G0120,ἀθυμέω,,vb.,"être découragé, accablé, démoralisé",1,
G0121,ἀθῷος,-ον,adj.,"innocent, non coupable",2,
G0122,αἴγειος,"-α, -ον",adj.,de chèvre,1,
G0123,αἰγιαλός,-οῦ,n. f.,"plage, rivage, grève",6,
G0124,Αἰγύπτιος,"-α, -ον",adj.,"Égyptien, habitant de l’égypte",5,
G0125,Αἴγυπτος,-ου,n. pr. f.,"Égypte = «double détroit, oppresseur»",25,
G0126,ἀΐδιος,-ον,adj.,"éternel, perpétuel, pour toujours",2,
G0127,αἰδώς,-οῦς,n. f.,"pudeur, décence, modestie, révérence",1,
G0128,Αἰθίοψ,-οπος,adj.,"Éthiopien = «noir, brûlé par le soleil»",2,2024-11-01T08:15:49.825Z
G0129,αἷμα,-τος,n. n.,sang,97,
G0130,αἱματεκχυσία,-ας,n. f.,effusion de sang,1,
G0131,αἱμορροέω,,vb.,"avoir une perte de sang, souffrir d’une hémorragie",1,
G0132,Αἰνέας,-ου,n. pr. m.,Énée = «louable»,2,
G0133,αἴνεσις,-εως,n. f.,"louange, célébration, glorification d’une personne",1,
G0134,αἰνέω,,vb.,"célébrer, louer, glorifier",8,
G0135,αἴνιγμα,-τος,n. n.,"énigme, parole obscure",1,
G0136,αἶνος,-ου,n. f.,"louange, célébration, glorification d’une personne",2,
G0137,Αἰνών,,n. pr.,Énon = «sources»,1,
G0138,αἱρέω,,vb.,"(+A) prendre, préférer, choisir",3,2025-10-06T08:03:01.878Z
G0139,αἵρεσις,-εως,n. f.,"secte, parti, dissension, division",9,2024-11-01T08:15:49.825Z
G0140,αἱρετίζω,,vb.,élire,1,
G0141,αἱρετικός,"-ή, -όν",adj.,"sectaire, hérétique, de parti",1,
G0142,αἴρω,fut. pass. ἀρθήσομαι ; aor. ἦρα ; aor. pass. ἤρθην ; pf. ἦρκα ; pf. pass. ἦρμαι ; inf. ἆραι ; fut. 3sg. ἀρεῖ,vb.,lever ; élever ; relever ; retirer à bord ; tenir en suspens ; prendre ; porter ; emporter ; recueillir ; ramasser ; enlever ; ôter,102,
G0143,αἰσθάνομαι,,vb.,"saisir, percevoir, comprendre",1,
G0144,αἴσθησις,-εως,n. f.,"discernement, perception, connaissance",1,2024-11-01T08:15:49.825Z
G0145,αἰσθητήριον,-ου,n. m.,"sens, faculté de discerner, jugement",1,
G0146,αἰσχροκερδής,-ές,adj.,"avide d’un gain honteux, malhonnête",2,
G0147,αἰσχροκερδῶς,,adv.,"pour un gain honteux, bassement, avec cupidité",1,
G0148,αἰσχρολογία,-ας,n. f.,"parole honteuse, parole grossière, propos inconvenant",1,
G0150,αἰσχρός,"-ά, -όν",adj.,"honteux, inconvenant, déshonnête",4,
G0151,αἰσχρότης,-ητος,n. f.,"chose honteuse, parole grossière, obscénité",1,
G0152,αἰσχύνη,-ης,n. f.,"honte, ignominie ; turpitude",6,2025-07-10T15:11:11.000Z
G0153,αἰσχύνω,,vb.,"déshonorer, couvrir de honte, avoir honte, être confus",5,2024-11-01T08:15:49.825Z
G0154,αἰτέω,,vb.,(+A +A) demander ; solliciter ; redemander,70,2025-07-18T19:25:55.484Z
G0155,αἴτημα,-τος,n. n.,"pétition, requête, demande",3,2024-11-01T08:15:49.825Z
G0156,αἰτία,-ας,n. f.,raison ; accusation ; crime ; condition,20,
G0157,αἰτίαμα,,n. n.,"accusation, grief, sujet d’accusation",1,
G0159,αἴτιος,,adj.,"auteur, la source active",5,
G0160,αἰφνίδιος,-ον,adj.,"subit, inattendu, inopiné",2,
G0161,αἰχμαλωσία,-ας,n. f.,"captivité, privation de liberté, emprisonnement",2,
G0162,αἰχμαλωτεύω,,vb.,"emmener captif, mener captif, faire prisonnier",1,
G0163,αἰχμαλωτίζω,,vb.,"amener captif, mener captif, rendre captif, faire prisonnier, emmener en captivité",4,
G0164,αἰχμάλωτος,-ου,n. f.,"captif, prisonnier de guerre",1,
G0165,αἰών,-ῶνος,n. f.,"âge, siècle, ère, éternité, éon",123,2025-07-18T19:25:55.484Z
G0166,αἰώνιος,-ον,adj.,éternel,70,2025-07-18T19:25:55.484Z
G0167,ἀκαθαρσία,-ας,n. f.,"impureté, saleté, souillure",10,
G0169,ἀκάθαρτος,-ον,adj.,impur,31,2025-07-18T19:25:55.484Z
G0170,ἀκαιρέω,,vb.,"ne pas avoir l’occasion, manquer une opportunité",1,
G0171,ἀκαίρως,,adv.,hors de temps,1,
G0172,ἄκακος,-ον,adj.,"innocent, simple",2,
G0173,ἄκανθα,-ης,n. f.,"épine, aiguille",14,
G0174,ἀκάνθινος,"-η, -ον",adj.,"piquant, épineux",2,
G0175,ἄκαρπος,-ον,adj.,"sans fruit, sans résultat, infructueux",7,
G0176,ἀκατάγνωστος,-ον,adj.,que l’on ne peut condamner,1,
G0177,ἀκατακάλυπτος,-ον,adj.,"découvert, non couvert, non voilé",2,
G0178,ἀκατάκριτος,-ον,adj.,sans être condamné,2,
G0179,ἀκατάλυτος,-ον,adj.,"impérissable, indissoluble, indestructible",1,
G0180,ἀκατάπαυστος,-ον,adj.,"qui ne cesse jamais, qui n’arrête pas",1,
G0181,ἀκαταστασία,-ας,n. f.,"désordre, confusion, perturbation, trouble, sédition",5,
G0182,ἀκατάστατος,-ον,adj.,"inconstant, instable, désordonné",2,
G0184,Ἀκελδαμά,,n. pr.,Hakeldama = «Champ du Sang»,1,
G0185,ἀκέραιος,-ον,adj.,pur ; simple,3,
G0186,ἀκλινής,-ές,adj.,"sans chanceler, sans fléchir, ferme, stable",1,
G0187,ἀκμάζω,,vb.,"mûrir, arriver à maturité",1,
G0188,ἀκμήν,,adv.,"encore, de nouveau, une autre fois",1,
G0189,ἀκοή,-ῆς,n. f.,"l’ouïe ; l’oreille ; la renommée, le rapport",24,2025-07-18T19:25:55.484Z
G0190,ἀκολουθέω,,vb.,(+D) suivre,88,2025-07-18T19:31:47.296Z
G0191,ἀκούω,pf. ἀκήκοα ; aor. pass. ptc. ἀκουσθείς,vb.,"écouter, entendre",426,2024-11-01T08:15:49.825Z
G0192,ἀκρασία,-ας,n. f.,"intempérance, dérèglement, incontinence",2,
G0193,ἀκρατής,-ές,adj.,"incontinent, sans frein",1,
G0194,ἄκρατος,-ον,adj.,"sans mélange, pur",1,
G0195,ἀκρίβεια,-ας,n. f.,"exactitude, précision, respect scrupuleux",1,
G0196,ἀκριβέστατος,-ές,adj.,"exact, soigneux",1,2024-11-01T08:15:49.825Z
G0197,ἀκριβέστερον,,adv. comp.,"plus exactement, plus précisément",4,
G0198,ἀκριβόω,,vb.,"s’informer exactement, s’enquérir exactement, se faire préciser",2,
G0199,ἀκριβῶς,,adv.,exactement ; diligemment ; soigneusement,5,
G0200,ἀκρίς,-ίδος,n. f.,sauterelle,4,2024-11-01T08:15:49.825Z
G0201,ἀκροατήριον,-ου,n. m.,salle d’audience,1,
G0202,ἀκροατής,-οῦ,n. f.,"celui qui écoute, auditeur",4,
G0203,ἀκροβυστία,-ας,n. f.,incirconcision,20,
G0204,ἀκρογωνιαῖος,"-α, -ον",adj.,maîtresse pierre de coin,2,
G0205,ἀκροθίνιον,-ου,n. m.,butin,1,2024-11-01T08:15:49.825Z
G0206,ἄκρον,-ου,n. n.,"bout, extrémité",6,
G0207,Ἀκύλας,"-ου ?, Ἀκύλαν",n. pr. m.,Aquilas = «un aigle»,6,
G0208,ἀκυρόω,,vb.,"annuler, abroger",3,2024-11-01T08:15:49.825Z
G0209,ἀκωλύτως,,adv.,"sans empêchement, sans entrave, sans obstacle",1,
G0210,ἄκων,"ἄκουσα, ἆκον",adj.,"malgré soi, contraint",1,
G0211,ἀλάβαστρον,-ου,n. m.,vase d’albâtre,4,
G0212,ἀλαζονεία,-ας,n. f.,"négliger, délaisser",2,2026-08-29T13:32:33.240Z
G0213,ἀλαζών,-όνος,n. f.,"vantard, fanfaron, arrogant",2,
G0214,ἀλαλάζω,,vb.,retentir ; pousser des cris,2,
G0215,ἀλάλητος,-ον,adj.,"inexprimable, indicible, incommunicable",1,
G0216,ἄλαλος,-ον,adj.,muet,3,
G0217,ἅλας,ἁλός,n. m./n.,sel,8,
G0218,ἀλείφω,,vb.,"oindre, embaumer",9,
G0219,ἀλεκτοροφωνία,-ας,n. f.,"chant du coq, à l’aube, tôt le matin",1,
G0220,ἀλέκτωρ,-ορος,n. f.,"coq, oiseau de basse-cour",12,
G0221,Ἀλεξανδρεύς,-έως,adj.,Alexandrin,2,
G0222,Ἀλεξανδρῖνος,"-η, -ον",adj.,D’Alexandrie,2,
G0223,Ἀλέξανδρος,-ου,n. pr. m.,Alexandre= «défenseur des hommes»,6,
G0224,ἄλευρον,-ου,n. m.,farine,2,
G0225,ἀλήθεια,-ας,n. f.,"vérité, véracité",108,2024-11-01T08:15:49.825Z
G0226,ἀληθεύω,,vb.,"dire la vérité, professer la vérité, garder la vérité, être vrai",2,
G0227,ἀληθής,-ές,adj.,"vrai, véritable, sincère",26,2024-11-01T08:15:49.825Z
G0228,ἀληθινός,"-ή, -όν",adj. / adv.,"véritable, vrai, sincère",28,2024-11-01T08:15:49.825Z
G0229,ἀλήθω,,vb.,moudre,2,
G0230,ἀληθῶς,,adv.,"certainement, vraiment, véritablement, réellement",18,
G0231,ἁλιεύς,-έως,n. f.,pêcheur,5,
G0232,ἁλιεύω,,vb.,"pêcher, attraper du poisson",1,
G0233,ἁλίζω,,vb.,"saler, assaisonner de sel",2,
G0234,ἀλίσγημα,-τος,n. n.,"souillure, ce qui pollue, ce qui contamine",1,
G0235,ἀλλά,,conj.,mais,638,2024-11-01T08:15:49.825Z
G0236,ἀλλάσσω,fut. pass. ἀλλαγήσομαι,vb.,"changer, altérer",6,2024-11-01T08:15:49.825Z
G0237,ἀλλαχόθεν,,adv.,ailleurs,2,
G0238,ἀλληγορέω,,vb.,exprimer allégoriquement,1,
G0239,ἀλληλουϊα,,hébr. / interj.,alléluia = «Louez l’Éternel!»,4,2024-11-01T08:15:49.825Z
G0240,ἀλλήλων,"-οις, -ους",conj.,"les uns les autres, eux, mutuel, réciproque",100,
G0241,ἀλλογενής,-ές,adj.,étranger,1,
G0242,ἅλλομαι,aor. ἡλάμην,vb.,"jaillir, sortir puissamment, sauter",3,
G0243,ἄλλος,"-η, -ο",adj.,l'autre,154,2025-07-18T19:31:47.296Z
G0244,ἀλλοτριεπίσκοπος,-ου,n. m.,"qui s’ingère dans les affaires d’autrui, indiscret",1,
G0245,ἀλλότριος,"-α, -ον",adj.,d’autrui ; étranger,14,
G0246,ἀλλόφυλος,-ον,adj.,étranger,1,
G0247,ἄλλως,,adv.,"autrement, d’une autre manière",1,
G0248,ἀλοάω,,vb.,fouler le grain,3,
G0249,ἄλογος,-ον,adj.,"déraisonnable, illogique, absurde, sans raison",3,
G0250,ἀλόη,-ης,n. f.,aloès,1,2024-11-01T08:15:49.825Z
G0252,ἁλυκός,"-ή, -όν",adj.,salé,1,
G0253,ἄλυπος,-ον,adj.,"moins triste, moins attristé, moins chagriné",1,
G0254,ἅλυσις,-εως,n. f.,chaîne,11,
G0255,ἀλυσιτελής,-ές,adj.,"qui n’est pas profitable, inutile",1,
G0256,Ἀλφαῖος,-ου,n. pr. m.,Alphée = «éphémère»,5,
G0257,ἅλων,-ος,n. f.,aire,2,
G0258,ἀλώπηξ,-εκος,n. f.,renard,3,
G0259,ἅλωσις,-εως,n. f.,"capture, prise",1,
G0260,ἅμα,,adv.,"en même temps ; ensemble, (+D) avec",10,2025-07-10T14:48:37.000Z
G0261,ἀμαθής,-ές,adj.,"ignorant, sans instruction, ignare",1,
G0262,ἀμαράντινος,"-η, -ον",adj.,"inflétrissable, qui demeure perpétuellement, incorruptible",1,
G0263,ἀμάραντος,-ον,adj.,"inaltérable, qui demeure perpétuellement, incorruptible, immarcescible",1,
G0264,ἁμαρτάνω,aor. ἥμαρτον ; pf. ἡμάρτηκα,vb.,"pécher, faire mal",42,2025-07-18T19:31:47.296Z
G0265,ἁμάρτημα,-τος,n. n.,péché,4,
G0266,ἁμαρτία,-ας,n. f.,"péché, offense",173,2024-11-01T08:15:49.825Z
G0267,ἀμάρτυρος,-ον,adj.,"sans témoignage, sans attestation",1,
G0268,ἁμαρτωλός,-ον,adj.,pécheur,47,2025-07-18T19:31:47.296Z
G0269,ἄμαχος,-ον,adj.,"non querelleur, non disputeur, pacifique",2,
G0270,ἀμάω,,vb.,"moissonner, récolter",1,
G0271,ἀμέθυστος,-ου,n. m.,"améthyste, variété de quartz",1,
G0272,ἀμελέω,,vb.,ne pas tenir compte ; délaisser,4,
G0273,ἄμεμπτος,-ον,adj.,"irréprochable, sans défaut, innocent",5,2024-11-01T08:15:49.825Z
G0274,ἀμέμπτως,,adv.,"irréprochablement, sans reproche",2,
G0275,ἀμέριμνος,-ον,adj.,"sans inquiétude, exempt de soucis",2,
G0276,ἀμετάθετος,-ον,adj.,"immutabilité, caractère irrévocable, permanence",2,
G0277,ἀμετακίνητος,-ον,adj.,inébranlable,1,
G0278,ἀμεταμέλητος,-ον,adj.,"sans repentir, irrévocable",2,
G0279,ἀμετανόητος,-ον,adj.,"sans repentance, impénitent",1,
G0280,ἄμετρος,-ον,adj.,"ce qui dépasse la mesure, démesuré",2,
G0281,ἀμήν,,hébr. / interj.,"amen, en vérité, véritablement",134,2024-11-01T08:15:49.825Z
G0282,ἀμήτωρ,-ορος,adj.,sans mère,1,
G0283,ἀμίαντος,-ον,adj.,"sans souillure, immaculé, sans contamination, sans tache",4,
G0284,Ἀμιναδάβ,,n. pr. m.,Aminadab = «un du prince du peuple»,3,
G0285,ἄμμος,-ου,n. m.,sable,5,
G0286,ἀμνός,-οῦ,n. f.,agneau,4,
G0287,ἀμοιβή,-ῆς,n. f.,"récompense, don en retour",1,2026-08-29T13:32:33.240Z
G0288,ἄμπελος,-ου,n. m.,vigne,9,
G0289,ἀμπελουργός,-οῦ,n. f.,"vigneron, vigneronne",1,
G0290,ἀμπελών,-ῶνος,n. f.,"vigne, vignoble",23,2025-07-18T19:31:47.296Z
G0291,Ἀμπλίας,-ου,n. pr. m.,"Amplias = «large, agrandi»",1,
G0292,ἀμύνω,,vb.,"prendre la défense, défendre, protéger, aider",1,
G0293,ἀμφίβληστρον,-ου,n. m.,jeter un filet,1,
G0294,ἀμφιέννυμι,pf. pass. ἠμφίεσμαι,vb.,"revêtir, vêtir, habiller",3,
G0295,Ἀμφίπολις,-εως,n. pr.,Amphipolis = «ville entourée par les eaux»,1,
G0296,ἄμφοδον,-ου,n. m.,carrefour,1,
G0297,ἀμφότερος,"-αι, -α",adj.,"tous les deux, tous deux, l’un et l’autre",14,
G0298,ἀμώμητος,-ον,adj.,"irréprochable, sans tache, sans défaut",1,
G0299,ἄμωμος,-ον,adj.,"sans défaut, sans faute, irrépréhensible",8,2024-11-01T08:15:49.825Z
G0301,Ἀμώς,,n. pr. m.,Amos = «qui porte le fardeau»,3,
G0302,ἄν,,cond.,"(part. condit.) qui que ce soit, quiconque, où que ce soit, quoi qu’il arrive, etc.",167,2025-07-18T19:31:47.296Z
G0303,ἀνά,,prép.,"parmi, au milieu, chacun, tout",12,
G0304,ἀναβαθμός,-οῦ,n. f.,"surface plane, marche",2,
G0305,ἀναβαίνω,aor. ἀνέβην ; pf. ἀναβέβηκα,vb.,monter ; remonter ; venir,81,
G0306,ἀναβάλλω,,vb.,ajourner,1,
G0307,ἀναβιβάζω,,vb.,"tirer, remonter, soulever",1,
G0308,ἀναβλέπω,,vb.,"lever les yeux, recouvrer la vue",25,2024-11-01T08:15:49.825Z
G0309,ἀνάβλεψις,-εως,n. f.,recouvrement de la vue,1,
G0310,ἀναβοάω,,vb.,"s’écrier, pousser des cris",1,
G0311,ἀναβολή,-ῆς,n. f.,"délai, suspension, sursis",1,
G0312,ἀναγγέλλω,fut. ἀναγγελῶ ; aor. ἀνήγγειλα ; aor. pass. ἀνηγγέλην ; inf. ἀναγγεῖλαι,vb.,annoncer ; déclarer ; faire connaître ; parler ; porter la nouvelle ; prêcher ; raconter,14,
G0313,ἀναγεννάω,,vb.,régénérer,2,
G0314,ἀναγινώσκω,aor. ἀνέγνων ; inf. ἀναγνῶναι ; ptc. ἀναγνούς ; aor. pass. inf. ἀναγνωσθῆναι,vb.,lire,32,2025-07-18T19:31:47.296Z
G0315,ἀναγκάζω,,vb.,"contraindre, forcer, obliger, imposer",9,
G0316,ἀναγκαῖος,"-α, -ον",adj.,"nécessaire, indispensable, intime",8,
G0317,ἀναγκαστῶς,,adv.,"par contrainte, par nécessité, par obligation",1,
G0318,ἀνάγκη,-ης,n. f.,nécessité ; contrainte ; détresse,17,
G0319,ἀναγνωρίζω,,vb.,"reconnaître, identifier",1,
G0320,ἀνάγνωσις,-εως,n. f.,lecture,3,2026-08-29T13:32:33.240Z
G0321,ἀνάγω,aor. ἀνήγαγον ; aor. pass. ἀνήχθην ; inf. ἀναχθῆναι,vb.,faire monter ; mener ; ramener ; amener ; offrir ; faire comparaître ; (pass.) s’embarquer ; (pass.) partir [par la mer] ; (pass.) faire voile,23,
G0322,ἀναδείκνυμι,aor. ἀνέδειξα,vb.,"désigner, choisir, nommer, montrer",2,
G0323,ἀνάδειξις,-εως,n. f.,"manifestation, présentation publique",1,
G0324,ἀναδέχομαι,,vb.,accueillir ; recevoir,2,
G0325,ἀναδίδωμι,aor. ptc. ἀναδούς,vb.,"remettre, présenter, livrer",1,
G0326,ἀναζάω,,vb.,"reprendre vie, vivre de nouveau",2,
G0327,ἀναζητέω,,vb.,"rechercher, chercher avec soin",3,
G0328,ἀναζώννυμι,aor. moy. ptc. ἀναζωσάμενος,vb.,ceindre,1,
G0329,ἀναζωπυρέω,,vb.,"ranimer, raviver, enflammer de nouveau",1,
G0330,ἀναθάλλω,aor. ἀνέθαλον,vb.,"renouveler, croître, pousser de nouveau, reverdir, fleurir de nouveau",1,2024-11-01T08:15:49.825Z
G0331,ἀνάθεμα,-τος,n. n.,"anathème, imprécation, livré au malheur",7,2024-11-01T08:15:49.825Z
G0332,ἀναθεματίζω,,vb.,s’obliger par un serment d’exécration,4,
G0333,ἀναθεωρέω,,vb.,"considérer à nouveau, regarder très attentivement, contempler",2,
G0335,ἀναίδεια,-ας,n. f.,"importunité, impudence, insistance",1,
G0336,ἀναίρεσις,-εως,n. f.,"mort, assassinat, meurtre",1,
